epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1793.07,1.75834,1.76645,1.53076,0.74066,0.71402,0.79442,0.40672,1.19349,1.42392,1.17726,0.005743,0.005743,0.005743
45,1833.21,1.66359,1.66743,1.46828,0.71099,0.69167,0.7744,0.38631,1.20051,1.46712,1.18445,0.005644,0.005644,0.005644
46,1873.47,1.71761,1.7014,1.52066,0.74625,0.71071,0.78445,0.3691,1.21875,1.48547,1.1924,0.005545,0.005545,0.005545
47,1913.6,1.63928,1.62064,1.45729,0.77241,0.725,0.81723,0.40893,1.17928,1.49717,1.17538,0.005446,0.005446,0.005446
48,1966.26,1.64826,1.64687,1.45137,0.73136,0.71667,0.80853,0.42712,1.16861,1.46555,1.16091,0.005347,0.005347,0.005347
49,2006.72,1.68862,1.64974,1.47443,0.81705,0.75833,0.81725,0.40744,1.22445,1.49335,1.20305,0.005248,0.005248,0.005248
50,2046.95,1.63264,1.56596,1.47491,0.82829,0.72356,0.83322,0.4295,1.1904,1.43681,1.16404,0.005149,0.005149,0.005149
51,2088,1.68178,1.64855,1.49804,0.78876,0.74167,0.83487,0.42954,1.21765,1.45914,1.19236,0.00505,0.00505,0.00505
52,2128.23,1.63731,1.59298,1.45592,0.7657,0.73531,0.81562,0.42787,1.23633,1.34848,1.20502,0.004951,0.004951,0.004951
53,2168.42,1.64606,1.61809,1.45591,0.81023,0.67604,0.7942,0.41668,1.17521,1.33637,1.17014,0.004852,0.004852,0.004852
54,2208.78,1.67234,1.6275,1.47828,0.76613,0.79168,0.84359,0.4319,1.19097,1.40015,1.16374,0.004753,0.004753,0.004753
55,2249.03,1.62299,1.54688,1.41857,0.80371,0.78477,0.86978,0.45261,1.19306,1.27574,1.15125,0.004654,0.004654,0.004654
56,2289.52,1.6661,1.566,1.46684,0.84064,0.74167,0.86583,0.43372,1.20053,1.35416,1.16405,0.004555,0.004555,0.004555
57,2330.18,1.64433,1.53833,1.4509,0.81851,0.76667,0.86002,0.44171,1.22358,1.23359,1.18586,0.004456,0.004456,0.004456
58,2371.29,1.59296,1.58009,1.41091,0.84558,0.70833,0.84905,0.45772,1.1868,1.30877,1.15841,0.004357,0.004357,0.004357
59,2424.24,1.60577,1.55442,1.42842,0.85894,0.71045,0.862,0.46209,1.18803,1.31477,1.16418,0.004258,0.004258,0.004258
60,2464.93,1.61995,1.54974,1.41839,0.80178,0.75833,0.86652,0.45748,1.21244,1.30238,1.18191,0.004159,0.004159,0.004159
61,2505.36,1.58072,1.50339,1.41975,0.85834,0.74167,0.87154,0.45278,1.19525,1.15956,1.16057,0.00406,0.00406,0.00406
62,2545.9,1.61287,1.51083,1.41218,0.80037,0.76844,0.85046,0.45337,1.18178,1.21046,1.16578,0.003961,0.003961,0.003961
63,2586.28,1.58626,1.47343,1.40099,0.84511,0.77295,0.8777,0.45425,1.2219,1.20079,1.19028,0.003862,0.003862,0.003862
64,2626.89,1.62129,1.46244,1.43931,0.79191,0.84167,0.89095,0.47805,1.20228,1.21005,1.17655,0.003763,0.003763,0.003763
65,2667.41,1.55374,1.44994,1.36468,0.834,0.71179,0.83637,0.47386,1.21508,1.26603,1.19523,0.003664,0.003664,0.003664
66,2707.88,1.57087,1.4539,1.37969,0.8316,0.7819,0.86283,0.47258,1.17475,1.31942,1.14538,0.003565,0.003565,0.003565
67,2748.42,1.556,1.44894,1.39824,0.82949,0.8,0.89323,0.4959,1.10345,1.28167,1.10768,0.003466,0.003466,0.003466
68,2788.95,1.54601,1.4167,1.35362,0.89724,0.72765,0.8733,0.48415,1.14976,1.20431,1.12478,0.003367,0.003367,0.003367
69,2829.47,1.56431,1.46757,1.37029,0.75893,0.8133,0.86957,0.48862,1.11326,1.20137,1.11386,0.003268,0.003268,0.003268
70,2869.96,1.54599,1.4156,1.38263,0.80186,0.80937,0.87699,0.50357,1.11371,1.26584,1.11589,0.003169,0.003169,0.003169
71,2910.47,1.55921,1.36693,1.39289,0.79842,0.775,0.87662,0.48823,1.11697,1.34915,1.11769,0.00307,0.00307,0.00307
72,2951.16,1.53538,1.37829,1.39857,0.80481,0.7903,0.88142,0.47106,1.12197,1.28616,1.12129,0.002971,0.002971,0.002971
73,2991.63,1.55645,1.45489,1.38478,0.83629,0.76626,0.87963,0.49396,1.14332,1.29868,1.13278,0.002872,0.002872,0.002872
74,3032.11,1.54529,1.3504,1.35803,0.82626,0.79167,0.89155,0.48914,1.15675,1.25634,1.13382,0.002773,0.002773,0.002773
75,3072.55,1.47958,1.30675,1.32582,0.78284,0.81667,0.86673,0.47895,1.16724,1.22225,1.14804,0.002674,0.002674,0.002674
76,3112.95,1.48588,1.35795,1.34716,0.79532,0.80833,0.86216,0.48399,1.17423,1.22144,1.15507,0.002575,0.002575,0.002575
77,3153.41,1.50989,1.37388,1.35165,0.85508,0.775,0.86677,0.48024,1.18462,1.22782,1.1557,0.002476,0.002476,0.002476
78,3193.84,1.46665,1.32872,1.33736,0.87163,0.78333,0.88628,0.48192,1.17076,1.24067,1.14996,0.002377,0.002377,0.002377
79,3234.11,1.44265,1.33314,1.30815,0.84813,0.74461,0.87121,0.50116,1.17553,1.25391,1.14734,0.002278,0.002278,0.002278
80,3274.33,1.45255,1.32103,1.30413,0.83494,0.775,0.87715,0.49058,1.16995,1.20569,1.14663,0.002179,0.002179,0.002179
81,3314.66,1.4705,1.32017,1.32554,0.87568,0.76311,0.86816,0.48024,1.19289,1.2088,1.16726,0.00208,0.00208,0.00208
82,3355.09,1.47408,1.32072,1.32155,0.88904,0.74167,0.87781,0.49453,1.19045,1.19214,1.16901,0.001981,0.001981,0.001981
83,3395.55,1.48339,1.27776,1.32523,0.89348,0.74167,0.87624,0.48889,1.18796,1.21848,1.16604,0.001882,0.001882,0.001882
84,3435.87,1.43635,1.22549,1.28924,0.89309,0.725,0.88574,0.49143,1.1925,1.21147,1.16697,0.001783,0.001783,0.001783
85,3476.18,1.42293,1.23894,1.29606,0.93588,0.72986,0.89565,0.50028,1.20662,1.22742,1.17502,0.001684,0.001684,0.001684
86,3516.48,1.42257,1.20923,1.3034,0.92206,0.725,0.88736,0.49412,1.21293,1.22677,1.18986,0.001585,0.001585,0.001585
87,3556.74,1.39974,1.23217,1.27008,0.91736,0.73333,0.89366,0.49598,1.21648,1.2129,1.18844,0.001486,0.001486,0.001486
88,3597.16,1.41934,1.18555,1.30235,0.95646,0.73233,0.89679,0.49127,1.21561,1.22492,1.18191,0.001387,0.001387,0.001387
89,3637.57,1.40849,1.18118,1.28153,0.89061,0.74635,0.89516,0.48887,1.21118,1.22032,1.18344,0.001288,0.001288,0.001288
90,3678.14,1.46176,1.24678,1.35368,0.87252,0.74149,0.89403,0.4926,1.20777,1.20708,1.17983,0.001189,0.001189,0.001189
91,3719.24,1.16516,0.98526,1.12677,0.86527,0.74924,0.89161,0.50218,1.22044,1.1993,1.18972,0.00109,0.00109,0.00109
92,3759.81,1.17256,0.93222,1.14917,0.87972,0.7314,0.88983,0.4972,1.22156,1.17745,1.18727,0.000991,0.000991,0.000991
93,3800.07,1.13909,0.90216,1.13417,0.8472,0.73931,0.88914,0.49867,1.22329,1.17275,1.18571,0.000892,0.000892,0.000892
94,3839.65,1.14256,0.92203,1.15097,0.84337,0.73333,0.88485,0.49332,1.22938,1.16462,1.18809,0.000793,0.000793,0.000793
95,3892.1,1.12192,0.88732,1.12442,0.83377,0.73333,0.87904,0.4933,1.22933,1.15587,1.19103,0.000694,0.000694,0.000694
96,3938.51,1.07968,0.84303,1.07245,0.73686,0.81674,0.87931,0.49358,1.23438,1.15147,1.19557,0.000595,0.000595,0.000595
97,3978.11,1.12729,0.85798,1.11616,0.81827,0.73333,0.87736,0.48777,1.23622,1.14663,1.19931,0.000496,0.000496,0.000496
98,4017.65,1.1141,0.8512,1.11019,0.81923,0.73333,0.87722,0.49062,1.2376,1.15302,1.20108,0.000397,0.000397,0.000397
99,4057.14,1.10581,0.83724,1.09073,0.756,0.825,0.87545,0.48313,1.24169,1.14832,1.20317,0.000298,0.000298,0.000298
100,4096.78,1.10679,0.87022,1.09679,0.74771,0.825,0.86996,0.48445,1.2447,1.1419,1.20664,0.000199,0.000199,0.000199
